timestamp;cpu_usage
1750373518;7.48
1750373519;5.58
1750373520;74.97
1750373521;16.09
1750373522;27.16
1750373523;90.25
1750373524;43.61
1750373525;34.26
1750373527;31.16
1750373528;94.55
1750373529;14.26
1750373530;66.01
1750373531;79.68
1750373532;65.85
1750373533;24.25
1750373535;61.46
1750373536;93.48
1750373537;19.85
1750373761;89.69
1750373762;60.28
1750373763;75.8
1750373764;38.72
1750373765;15.02
1750373766;83.03
1750373767;49.74
1750373768;38.58
1750373770;47.89
1750373771;21.83
1750373772;71.02
1750373773;91.56
1750374675;78.58
1750374676;55.4
1750374677;79.03
1750374678;8.72
1750374679;24.8
1750374681;36.15
1750374682;71.46
1750374683;75.14
1750374684;99.78
1750374685;26.47
1750374686;13.88
1750374687;49.23
1750374688;44.2
1750374689;94.14
1750374691;94.17
1750374692;52.75
1750374693;43.94
1750374694;44.31
1750374695;62.11
1750374696;99.33
1750374697;74.96
1750374698;14.33
1750374699;96.44
1750374700;46.21
1750374702;41.69
1750374703;2.57
1750374704;19.17
1750374705;78.57
1750374706;54.0
1750374707;19.72
1750374708;49.6
1750374709;92.23
1750374710;95.77
1750374712;32.28
1750374713;34.47
1750374714;97.82
1750374715;59.47
1750374716;59.31
1750374717;61.36
1750374718;64.49
1750374719;17.64
1750374721;97.52
1750374722;68.58
1750374723;63.61
1750374724;29.5
1750374725;20.52
1750374726;5.25
1750374727;62.24
1750374728;2.32
1750374729;79.04
1750374731;63.73
1750374732;20.66
1750374733;51.04
1750374734;46.56
1750374735;86.61
1750374736;59.99
1750374737;48.13
1750374738;0.93
1750374739;37.26
1750374740;99.55
1750374742;98.45
1750374743;51.2
1750374744;0.87
1750374745;69.47
1750374746;39.16
1750374747;4.81
1750374748;3.67
1750374749;68.7
1750374750;64.22
1750374752;8.01
1750374753;60.2
1750374754;85.58
1750374755;19.77
1750374756;24.78
1750374757;64.13
1750374758;86.51
1750374759;58.18
1750374760;69.02
1750374761;62.96
1750374763;91.49
1750374764;26.15
1750374765;8.14
1750374766;61.7
1750374767;58.11
1750374768;55.32
1750374769;37.38
1750374770;73.04
1750374771;39.8
1750374772;67.56
1750374774;49.63
1750374775;49.86
1750374776;53.88
1750374777;8.53
1750374778;27.47
1750374779;50.86
1750374780;72.83
1750374781;91.21
1750374782;27.38
1750374783;8.99
1750374785;1.55
1750374786;82.59
1750374787;10.2
1750374788;43.84
1750374789;43.64
1750374790;98.59
1750374791;93.94
1750374792;93.86
1750374793;17.15
1750374794;54.79
1750374796;52.66
1750374797;8.41
1750374798;44.51
1750374799;15.83
1750374800;62.67
1750374801;29.94
1750374802;6.37
1750374803;74.11
1750374804;27.25
1750374806;47.89
1750374807;72.36
1750374808;5.64
1750374809;14.36
1750374810;84.71
1750374811;15.61
1750374812;68.84
1750374813;44.07
1750374814;77.83
1750374815;28.77
1750374817;69.0
1750374818;91.02
1750374819;60.53
1750374820;16.58
1750374821;19.66
1750374822;29.71
1750374823;48.28
1750374824;75.31
1750374825;28.67
1750374827;43.5
1750374828;70.6
1750374829;99.36
1750374830;71.13
1750374831;27.72
1750374832;62.35
1750374833;64.45
1750374834;74.95
1750374835;1.98
1750374837;24.0
1750374838;99.57
1750374839;6.94
1750374840;54.37
1750374841;88.58
1750374842;94.2
1750374843;18.96
1750374844;14.73
1750374845;17.19
1750374847;28.06
1750374848;47.12
1750374849;84.16
1750374850;4.03
1750374851;3.81
1750374852;98.19
1750374853;91.23
1750374854;92.72
1750374855;69.5
1750374856;48.72
1750374858;64.29
1750374859;21.87
1750374860;59.85
1750374861;43.9
1750374862;52.67
1750374863;55.51
1750374864;78.92
1750374865;51.36
1750374866;75.76
1750374868;34.42
1750374869;8.57
1750374870;36.92
1750374871;4.26
1750374872;50.8
1750374873;86.45
1750374874;55.01
1750374875;24.87
1750374876;29.04
1750374878;0.96
1750374879;63.32
1750374880;20.38
1750374881;39.81
1750374882;0.97
1750374883;2.94
1750374884;36.27
1750374885;41.74
1750374886;13.39
1750374888;97.59
1750374889;27.35
1750374890;46.69
1750374891;22.28
1750374892;16.25
1750374893;76.99
1750374894;33.49
1750374895;94.71
1750374896;30.8
1750374897;47.22
1750374899;74.61
1750374900;29.22
1750374901;3.68
1750374902;98.24
1750374903;59.48
1750374904;90.0
1750374905;21.15
1750374906;4.56
1750374907;46.72
1750374909;18.29
1750374910;13.88
1750374911;29.84
1750374912;86.77
1750374913;68.21
1750374914;19.68
1750374915;94.46
1750374916;20.86
1750374917;12.1
1750374919;28.58
1750374920;37.03
1750374921;99.6
1750374922;38.94
1750374923;7.57
1750374924;15.52
1750374925;56.04
1750374926;79.06
1750374927;75.09
1750374928;85.88
1750374930;86.9
1750374931;34.84
1750374932;15.0
1750374933;29.23
1750374934;83.88
1750374935;97.95
1750374936;27.04
1750374937;7.87
1750374938;98.81
1750374940;64.46
1750374941;76.99
1750374942;67.2
1750374943;30.81
1750374944;0.73
1750374945;41.41
1750374946;92.49
1750374947;81.9
1750374949;95.58
1750374950;23.14
1750374951;25.23
1750374952;54.79
1750374953;49.35
1750374954;28.69
1750374955;59.4
1750374956;29.43
1750374957;18.51
1750374959;55.18
1750374960;2.63
1750374961;7.58
1750374962;99.54
1750374963;11.84
1750374964;39.09
1750374965;0.38
1750374967;34.37
1750374968;35.86
1750374969;49.97
1750374970;17.04
1750374971;14.3
1750374972;17.52
1750374973;78.0
1750374974;91.39
1750374976;14.85
1750374977;97.76
1750374978;15.79
1750374979;30.11
1750374980;30.6
1750374981;78.27
1750374982;37.61
1750374983;86.88
1750374984;95.39
1750374986;85.65
1750374987;98.23
1750374988;5.41
1750374989;35.78
1750374990;73.96
1750374991;53.53
1750374992;52.66
1750374993;15.42
1750374994;22.15
1750374996;77.66
1750374997;39.09
1750374998;32.41
1750374999;11.66
1750375000;64.97
1750375001;41.77
1750375002;27.32
1750375003;88.77
1750375004;61.79
1750375006;5.23
1750375007;59.85
1750375008;74.04
1750375009;64.35
1750375010;39.93
1750375011;42.8
1750375012;49.38
1750375013;36.3
1750375014;20.09
1750375015;62.35
1750375017;3.71
1750375018;83.33
1750375019;67.71
1750375020;82.16
1750375021;94.6
1750375022;80.72
1750375023;27.06
1750375024;39.92
1750375026;69.89
1750375027;63.59
1750375028;80.27
1750375029;59.95
1750375030;45.36
1750375031;14.63
1750375032;57.16
1750375033;57.48
1750375034;49.94
1750375036;84.57
1750375037;9.08
1750375038;14.91
1750375039;75.37
1750375040;72.24
1750375041;94.2
1750375042;66.47
1750375043;46.62
1750375044;14.32
1750375046;30.35
1750375047;51.48
1750375048;87.79
1750375049;57.86
1750375050;37.58
1750375051;90.34
1750375052;12.66
1750375053;23.36
1750375054;96.14
1750375056;26.64
1750375057;66.29
1750375058;39.35
1750375059;99.23
1750375060;16.73
1750375061;9.87
1750375062;65.59
1750375063;31.29
1750375064;88.76
1750375066;55.2
1750375067;88.85
1750375068;37.87
1750375069;5.35
1750375070;37.46
1750375071;6.86
1750375072;93.15
1750375073;69.48
1750375074;34.19
1750375076;70.55
1750375077;29.86
1750375078;70.51
1750375079;66.47
1750375080;1.25
1750375081;0.85
1750375082;74.37
1750375083;37.58
1750375084;54.6
1750375085;80.59
1750375087;68.76
1750375088;53.2
1750375089;58.51
1750375090;68.98
1750375091;83.46
1750375092;46.44
1750375093;36.6
1750375094;63.7
1750375095;41.02
1750375097;77.17
1750375098;17.29
1750375099;72.17
1750375100;7.91
1750375101;50.12
1750375102;83.15
1750375103;50.48
1750375104;83.68
1750375105;90.08
1750375106;57.78
1750375108;95.74
1750375109;32.4
1750375110;3.86
1750375111;28.81
1750375112;82.13
1750375113;51.32
1750375114;2.38
1750375115;76.57
1750375116;18.79
1750375118;99.7
1750375119;70.27
1750375120;8.93
1750375121;34.11
1750375122;83.8
1750375123;43.29
1750375124;24.13
1750375125;67.15
1750375127;33.45
1750375128;5.28
1750375129;91.8
1750375130;89.32
1750375131;33.7
1750375132;29.18
1750375133;78.35
1750375134;64.26
1750375135;63.81
1750375137;81.5
1750375138;2.0
1750375139;55.37
1750375140;98.02
1750375141;68.13
1750375142;80.91
1750375143;12.3
1750375144;48.93
1750375145;32.12
1750375147;87.53
1750375148;40.71
1750375149;48.35
1750375150;26.11
1750375166;34.66
1750375167;42.73
1750375168;52.77
1750375169;70.43
1750375170;79.3
1750375171;39.51
1750375172;73.66
1750375174;8.16
1750375175;7.29
1750375176;4.05
1750375177;9.78
1750375178;74.81
1750375179;14.78
1750375180;15.03
1750375181;98.93
1750375182;74.03
1750375184;90.83
1750375185;47.48
1750375186;75.76
1750375187;50.17
1750375188;8.62
1750375189;48.34
1750375190;35.76
1750375191;35.2
1750375193;40.62
1750375194;46.07
1750375195;52.05
1750375196;70.47
1750375197;21.12
1750375198;65.26
1750375199;13.92
1750375200;71.47
1750375202;74.46
1750375205;13.11
1750375206;91.93
1750375207;37.4
1750375208;73.61
1750375209;67.59
1750375211;71.44
1750375212;84.14
1750375213;5.44
1750375214;56.31
1750375215;54.33
1750375216;70.81
1750375217;0.71
1750375218;32.54
1750375219;50.76
1750375221;93.42
1750375222;95.03
1750375223;9.68
1750375224;32.52
1750375225;29.39
1750375226;40.68
1750375227;56.65
1750375228;68.58
1750375230;60.52
1750375232;47.39
1750375233;32.19
1750375234;74.78
1750375235;73.42
1750375236;74.08
