timestamp;cpu_usage
1748295969;89.47
1748295446;87.31
1748295448;13.32
1748295449;72.24
1748295451;19.26
1748295453;97.67
1748295454;9.36
1748295456;5.87
1748295457;8.08
1748295459;46.18
1748295461;57.62
1748295462;29.49
1748295464;93.88
1748295465;80.78
1748295467;41.96
1748295468;15.96
1748295470;40.42
1748295472;87.5
1748295473;70.1
1748295475;53.21
1748295477;80.27
1748295478;97.81
1748295480;94.82
1748295481;65.05
1748295483;71.72
1748295485;21.6
1748295486;87.18
1748295488;32.21
1748295489;97.25
1748295491;33.5
1748295493;11.95
1748295494;3.8
1748295496;86.66
1748295498;8.22
1748295499;4.68
1748295501;25.73
1748295502;89.95
1748295504;81.76
1748295506;39.28
1748295507;9.77
1748295509;45.87
1748295510;2.45
1748295512;18.51
1748295514;56.25
1748295515;73.13
1748295517;12.48
1748295519;37.76
1748295520;66.35
1748295522;97.11
1748295523;19.81
1748295525;21.51
1748295527;79.7
1748295528;0.91
1748295530;84.45
1748295532;36.24
1748295533;62.83
1748295535;36.23
1748295537;88.63
1748295538;58.38
1748295540;0.69
1748295541;90.95
1748295543;84.16
1748295545;17.65
1748295546;13.62
1748295548;2.29
1748295550;94.48
1748295551;85.17
1748295553;59.75
1748295554;51.74
1748295556;81.38
1748295558;75.98
1748295560;80.53
1748295561;40.76
1748295563;26.83
1748295564;70.95
1748295566;98.01
1748295568;68.25
1748295569;10.34
1748295571;12.59
1748295572;99.04
1748295574;1.14
1748295575;57.24
1748295577;96.09
1748295579;28.32
1748295580;36.61
1748295582;41.6
1748295583;79.16
1748295585;16.55
1748295587;43.45
1748295588;26.7
1748295590;3.08
1748295592;6.93
1748295593;15.83
1748295595;58.19
1748295596;25.09
1748295598;5.23
1748295600;48.2
1748295601;56.22
1748295603;18.37
1748295605;99.41
1748295606;8.04
1748295608;15.17
1748295609;98.28
1748295611;66.74
1748295613;56.98
1748295614;0.67
1748295616;15.37
1748295617;13.69
1748295619;11.66
1748295621;69.11
1748295622;24.11
1748295624;64.92
1748295625;94.34
1748295627;9.43
1748295629;55.17
1748295630;6.94
1748295632;66.13
1748295634;93.35
1748295635;66.03
1748295637;92.76
1748295638;84.8
1748295640;70.09
1748295642;86.18
1748295643;6.39
1748295645;65.65
1748295647;93.15
1748295648;90.58
1748295650;4.97
1748295651;13.36
1748295653;84.37
1748295655;87.58
1748295656;3.0
1748295658;54.77
1748295659;49.45
1748295661;56.39
1748295663;5.27
1748295664;48.65
1748295666;92.6
1748295667;99.01
1748295669;20.16
1748295671;67.88
1748295672;82.08
1748295674;17.22
1748295676;10.37
1748295677;53.46
1748295679;23.84
1748295680;47.13
1748295682;71.82
1748295684;15.61
1748295686;42.47
1748295687;94.58
1748295689;67.83
1748295691;12.44
1748295692;57.07
1748295694;33.74
1748295695;96.65
1748295697;24.86
1748295699;91.07
1748295700;57.7
1748295702;74.2
1748295704;15.62
1748295705;65.6
1748295707;3.42
1748295709;55.81
1748295710;39.52
1748295712;92.53
1748295713;70.39
1748295715;86.7
1748295717;66.05
1748295718;34.16
1748295720;78.03
1748295722;84.97
1748295723;74.14
1748295725;23.42
1748295726;58.58
1748295728;15.64
1748295729;11.43
1748295731;70.22
1748295733;80.93
1748295734;13.55
1748295736;89.72
1748295738;35.0
1748295739;69.35
1748295741;82.21
1748295743;75.52
1748295744;44.86
1748295746;25.49
1748295747;2.18
1748295749;32.92
1748295750;20.52
1748295752;49.28
1748295753;89.09
1748295755;38.72
1748295757;100.0
1748295758;75.42
1748295760;53.8
1748295761;75.8
1748295763;74.77
1748295765;8.15
1748295766;2.81
1748295768;83.13
1748295769;98.38
1748295771;57.54
1748295773;18.95
1748295774;64.95
1748295776;94.06
1748295778;34.3
1748295779;63.43
1748295781;38.49
1748295783;99.83
1748295784;31.91
1748295786;83.42
1748295787;25.45
1748295789;87.41
1748295791;40.02
1748295792;37.84
1748295794;54.35
1748295795;12.71
1748295797;46.56
1748295799;96.9
1748295800;13.89
1748295802;42.93
1748295803;40.04
1748295805;41.55
1748295806;43.38
1748295808;76.41
1748295810;71.18
1748295811;76.44
1748295813;9.85
1748295814;1.51
1748295816;34.17
1748295818;12.68
1748295819;6.68
1748295821;14.85
1748295823;54.55
1748295824;77.55
1748295826;19.17
1748295827;95.3
1748295829;94.66
1748295831;87.05
1748295834;99.53
1748295836;9.95
1748295837;64.17
1748295839;58.5
1748295841;98.02
1748295842;67.24
1748295844;52.49
1748295846;18.75
1748295847;44.46
1748295849;98.99
1748295850;12.2
1748295852;52.14
1748295854;52.25
1748295855;93.57
1748295857;67.47
1748295858;58.43
1748295860;31.96
1748295862;74.04
1748295863;32.27
1748295865;17.82
1748295867;11.82
