timestamp;cpu_usage
1748295443;3.51
1748295444;54.13
1748295446;21.59
1748295448;14.15
1748295449;49.99
1748295451;36.22
1748295453;25.69
1748295454;2.23
1748295456;80.41
1748295457;9.73
1748295459;99.17
1748295461;70.25
1748295462;69.53
1748295464;46.85
1748295465;12.31
1748295467;29.03
1748295468;80.89
1748295470;86.23
1748295472;62.27
1748295473;67.74
1748295475;15.25
1748295477;88.73
1748295478;14.46
1748295480;55.03
1748295481;1.7
1748295483;25.73
1748295485;33.6
1748295486;10.27
1748295488;20.55
1748295489;99.78
1748295491;34.11
1748295493;56.71
1748295494;26.3
1748295496;70.24
1748295498;48.16
1748295499;38.27
1748295501;18.62
1748295502;65.62
1748295504;38.34
1748295506;1.23
1748295507;94.43
1748295509;47.46
1748295510;91.65
1748295512;93.5
1748295514;3.7
1748295515;22.9
1748295517;11.12
1748295519;83.84
1748295520;89.72
1748295522;5.72
1748295523;69.76
1748295525;10.74
1748295527;43.2
1748295528;31.68
1748295530;99.84
1748295532;27.67
1748295533;97.31
1748295535;19.99
1748295537;3.81
1748295538;48.3
1748295540;60.59
1748295541;62.8
1748295543;22.62
1748295545;6.78
1748295546;69.08
1748295548;76.4
1748295550;35.25
1748295551;38.69
1748295553;55.1
1748295554;29.9
1748295556;33.01
1748295558;87.52
1748295560;66.09
1748295561;76.48
1748295563;52.04
1748295564;40.49
1748295566;99.36
1748295568;52.83
1748295569;9.82
1748295571;16.07
1748295572;59.68
1748295574;4.16
1748295575;34.54
1748295577;40.89
1748295579;53.92
1748295580;4.47
1748295582;61.23
1748295583;67.05
1748295585;14.35
1748295587;87.9
1748295588;24.59
1748295590;63.58
1748295592;20.45
1748295593;41.27
1748295595;18.54
1748295596;81.81
1748295598;69.64
1748295600;90.93
1748295601;42.9
1748295603;27.27
1748295605;45.79
1748295606;57.38
1748295608;38.5
1748295609;44.77
1748295611;25.23
1748295613;9.32
1748295614;50.31
1748295616;98.43
1748295617;87.65
1748295619;85.67
1748295621;73.09
1748295622;17.79
1748295624;80.57
1748295625;58.82
1748295627;2.49
1748295629;56.28
1748295630;19.51
1748295632;87.44
1748295634;91.01
1748295635;79.24
1748295637;67.43
1748295638;20.6
1748295640;76.79
1748295642;55.33
1748295643;14.7
1748295645;35.63
1748295647;46.4
1748295648;88.92
1748295650;22.99
1748295651;80.57
1748295653;58.48
1748295655;39.44
1748295656;38.26
1748295658;9.08
1748295659;29.88
1748295661;83.84
1748295663;79.48
1748295664;1.05
1748295666;92.01
1748295667;51.26
1748295669;22.48
1748295671;15.2
1748295672;38.36
1748295674;84.22
1748295676;69.87
1748295677;81.42
1748295679;46.05
1748295680;65.72
1748295682;53.81
1748295684;26.69
1748295686;91.9
1748295687;46.03
1748295689;16.78
1748295691;38.79
1748295692;94.4
1748295694;60.4
1748295695;79.61
1748295697;38.28
1748295699;0.56
1748295700;80.83
1748295702;62.57
1748295704;66.36
1748295705;11.79
1748295707;54.01
1748295709;77.75
1748295710;8.2
1748295712;25.42
1748295713;4.46
1748295715;45.41
1748295717;0.24
1748295718;37.01
1748295720;36.15
1748295722;24.9
1748295723;59.62
1748295725;82.52
1748295726;48.88
1748295728;62.83
1748295729;67.09
1748295731;6.95
1748295733;88.98
1748295734;71.27
1748295736;84.03
1748295738;30.99
1748295739;42.61
1748295741;28.85
1748295743;12.07
1748295744;59.11
1748295746;80.93
1748295747;23.19
1748295749;68.37
1748295750;97.73
1748295752;16.92
1748295753;4.12
1748295755;25.99
1748295757;21.07
1748295758;32.94
1748295760;7.97
1748295761;59.49
1748295763;25.43
1748295765;35.08
1748295766;65.62
1748295768;22.7
1748295769;59.09
1748295771;19.91
1748295773;89.57
1748295774;50.0
1748295776;81.58
1748295778;83.11
1748295779;21.82
1748295781;57.59
1748295783;1.64
1748295784;85.18
1748295786;52.37
1748295787;78.49
1748295789;83.84
1748295791;67.98
1748295792;8.46
1748295794;53.13
1748295795;40.21
1748295797;37.05
1748295799;65.5
1748295800;31.61
1748295802;27.73
1748295803;74.96
1748295805;53.75
1748295806;2.58
1748295808;22.46
1748295810;4.08
1748295811;69.9
1748295813;74.45
1748295814;84.14
1748295816;65.23
1748295818;72.28
1748295819;2.93
1748295821;1.3
1748295823;39.97
1748295824;13.37
1748295826;36.22
1748295827;44.07
1748295829;56.2
1748295831;43.52
1748295832;39.07
1748295834;1.34
1748295836;74.83
1748295837;21.05
1748295839;78.41
1748295841;67.63
1748295842;12.74
1748295844;59.63
1748295846;64.01
1748295847;34.64
1748295849;89.91
1748295850;48.76
1748295852;39.82
1748295854;63.28
1748295855;39.73
1748295857;94.83
1748295858;38.75
1748295860;53.94
1748295862;76.93
1748295863;1.01
1748295865;30.19
1748295867;1.38
1748295868;40.56
1748295870;41.57
1748295871;32.92
1748295873;57.17
1748295875;12.19
1748295876;12.78
1748295878;20.19
1748295879;61.8
1748295881;72.37
1748295883;11.96
1748295884;30.06
1748295886;36.3
1748295888;16.13
1748295889;20.53
1748295891;87.6
1748295893;89.33
1748295894;83.18
1748295896;30.96
1748295897;42.25
1748295899;75.02
1748295901;12.75
1748295902;18.56
1748295904;28.8
1748295905;1.24
1748295907;54.58
1748295909;14.81
1748295910;82.51
1748295912;78.71
1748295914;28.21
1748295915;54.43
1748295917;80.05
1748295918;38.36
1748295920;26.22
1748295922;41.1
1748295923;62.88
1748295925;96.13
1748295926;19.75
1748295928;69.4
1748295930;16.08
1748295931;52.54
1748295933;48.41
1748295934;13.32
1748295936;93.42
1748295937;56.13
1748295939;59.44
1748295940;93.57
1748295942;37.86
1748295943;1748295990;71.2
1748295946;43.97
1748295948;90.65
1748295949;81.8
1748295951;35.42
1748295952;93.77
1748295954;46.26
1748295955;24.66
1748295957;77.72
1748295958;77.98
1748295960;88.43
1748295961;47.03
1748295963;41.9
1748295964;61.21
1748295966;96.86
1748295967;28.11
1748295969;72.94
1748295970;99.82
1748295972;15.31
1748295973;2.86
1748295975;58.44
1748295976;35.93
1748295978;53.88
1748295979;24.36
1748295981;27.41
1748295982;9.89
1748295984;70.74
1748295987;29.06
1748295988;26.82
1748295991;44.92
1748295993;70.74
1748295994;21.46
1748295996;66.29
1748295997;83.69
1748295999;5.13
1748296000;82.82
1748296002;71.61
1748296003;37.62
1748296005;22.86
1748296006;52.93
1748296008;77.79
1748296009;94.82
1748296011;50.01
1748296012;1.28
1748296014;56.5
1748296015;39.81
1748296017;7.38
1748296019;79.22
1748296020;69.79
1748296022;93.38
1748296023;26.16
1748296024;2.35
1748296026;81.2
1748296027;35.18
1748296029;48.19
1748296030;87.31
1748296032;94.31
1748296033;64.1
1748296035;23.48
1748296036;1.22
1748296038;29.23
1748296039;37.73
1748296041;67.12
1748296042;3.36
1748296044;20.5
1748296045;76.84
1748296047;75.22
1748296048;75.93
1748296050;26.87
1748296051;80.96
1748296053;12.07
1748296054;22.45
1748296056;37.21
1748296057;33.11
1748296059;70.89
1748296060;90.17
1748296062;8.37
1748296063;59.25
1748296065;62.13
1748296066;63.73
1748296068;50.11
1748296069;84.41
1748296071;87.92
1748296072;7.64
1748296074;9.24
1748296075;20.88
1748296077;95.67
1748296078;23.41
1748296080;41.28
1748296081;64.93
1748296083;23.24
1748296084;77.98
1748296086;37.87
1748296087;7.36
1748296089;29.13
1748296090;63.15
1748296092;1.54
1748296093;8.48
1748296095;30.8
1748296096;43.3
1748296098;70.9
1748296099;57.51
1748296101;8.07
1748296102;69.04
1748296104;88.32
1748296105;67.11
1748296107;24.83
1748296108;81.74
1748296110;34.7
1748296111;0.86
1748296113;7.67
1748296114;89.51
1748296116;33.57
1748296117;24.74
1748296119;57.91
1748296121;76.13
1748296122;52.48
1748296124;43.15
1748296125;96.18
1748296127;33.45
1748296128;63.79
1748296130;87.26
1748296131;71.63
1748296133;2.38
1748296134;56.23
1748296136;82.78
1748296137;20.06
1748296139;16.43
1748296140;71.05
1748296142;78.05
1748296143;24.71
1748296145;22.17
1748296146;33.16
1748296148;64.36
1748296149;73.2
1748296151;90.64
1748296152;70.95
1748296154;62.16
1748296155;41.21
1748296157;74.49
1748296158;59.86
1748296160;1.03
1748296161;56.15
1748296163;57.8
1748296164;36.87
1748296166;31.96
1748296167;71.57
1748296169;36.79
1750375039;67.16
1750375033;15.13
1748296173;71.57
1748296175;0.18
1748296176;22.15
1748296178;24.59
1748296179;3.08
1748296181;64.4
1748296182;54.14
1748296184;39.2
1748296185;78.81
1748296187;31.9
1748296189;44.37
1748296191;70.29
1748296192;6.93
1748296194;9.73
1748467685;37.51
1748467687;88.86
1748467688;18.05
1748467690;44.76
1748467691;6.28
1748906045;97.12
1748906046;28.23
1748906047;1.49
1748906383;74.13
1748906384;13.56
1748908220;24.15
1748908221;87.76
1748908222;53.61
1748908224;35.26
1748908225;77.73
1748908226;24.05
1748908227;68.24
1748908228;44.65
1748908230;90.68
1748908231;36.7
1748908336;17.95
1748908337;15.58
1748908338;81.11
1748908340;38.88
1748908341;20.12
1748908342;54.45
1748908343;81.52
1748908345;91.58
1750373518;42.61
1750373519;57.85
1750373520;23.73
1750373521;85.23
1750373522;12.4
1750373523;0.59
1750373524;80.78
1750373525;71.25
1750373527;12.25
1750373528;85.65
1750373529;77.47
1750373530;79.83
1750373531;88.91
1750373532;88.34
1750373533;41.65
1750373535;6.44
1750373536;45.18
1750373537;49.56
1750373761;75.97
1750373763;18.56
1750373764;74.34
1750373765;20.21
1750373767;24.49
1750373768;69.15
1750373770;13.75
1750373771;74.48
1750373772;54.74
1750373773;92.24
1750374675;37.48
1750374676;97.93
1750374677;10.79
1750374678;23.4
1750374679;82.07
1750374681;29.15
1750374682;32.95
1750374683;0.16
1750374684;75.12
1750374685;12.83
1750374686;2.62
1750374687;44.24
1750374688;61.32
1750374689;9.07
1750374691;0.73
1750374692;0.0
1750374693;92.35
1750374694;88.56
1750374695;61.65
1750374696;97.6
1750374697;66.5
1750374698;56.53
1750374699;63.17
1750374700;77.18
1750374702;40.44
1750374703;60.24
1750374704;86.85
1750374705;1.9
1750374706;86.93
1750374707;85.16
1750374708;31.1
1750374709;96.31
1750374710;78.88
1750374712;18.33
1750374713;84.32
1750374714;12.67
1750374715;69.88
1750374716;42.82
1750374717;89.47
1750374718;41.29
1750374719;80.29
1750374721;20.79
1750374722;15.92
1750374723;21.2
1750374724;88.71
1750374725;13.33
1750374726;59.91
1750374727;57.36
1750374728;97.46
1750374729;64.51
1750374731;72.55
1750374732;67.44
1750374733;25.13
1750374734;72.9
1750374735;69.76
1750374736;2.97
1750374737;99.53
1750374738;66.56
1750374739;58.83
1750374740;2.08
1750374742;86.86
1750374743;30.22
1750374744;11.64
1750374745;86.13
1750374746;37.32
1750374747;54.26
1750374748;78.64
1750374749;83.5
1750374750;50.72
1750374752;0.13
1750374753;75.3
1750374754;91.31
1750374755;92.5
1750374756;20.67
1750374757;10.12
1750374758;35.69
1750374759;57.32
1750374760;89.57
1750374761;33.82
1750374763;76.25
1750374764;9.2
1750374765;60.13
1750374766;92.85
1750374767;88.41
1750374768;65.58
1750374769;12.03
1750374770;52.86
1750374771;2.72
1750374772;34.76
1750374774;41.05
1750374775;94.49
1750374776;61.28
1750374777;11.33
1750374778;51.54
1750374779;71.96
1750374780;0.28
1750374781;50.76
1750374782;92.73
1750374783;65.16
1750374785;54.73
1750374786;41.48
1750374787;67.55
1750374788;73.65
1750374789;63.95
1750374790;40.8
1750374791;46.52
1750374792;10.1
1750374793;78.49
1750374794;22.19
1750374796;96.5
1750374797;12.58
1750374798;3.39
1750374799;53.66
1750374800;74.03
1750374801;67.52
1750374802;18.13
1750374803;55.89
1750374804;49.04
1750374806;74.81
1750374807;43.51
1750374808;79.14
1750374809;94.05
