timestamp;FPS
1749607390;47.86
1749607391;46.14
1749607392;50.83
1749607393;49.54
1749607394;59.13
1749607395;56.31
1749607396;55.99
1749607397;30.17
1749607398;48.86
1749607399;45.53
1749607400;59.13
1749607401;51.27
1749607402;42.56
1749607403;36.57
1749607405;49.6
1749607406;30.54
1749607407;55.42
1749607408;45.88
1749607409;39.4
1749607410;56.77
1749607411;33.57
1749607412;34.95
1749607413;45.53
1749607414;59.66
1749607415;38.99
1749607416;32.32
1749607417;57.44
1749607418;36.03
1749607419;41.05
1749607421;33.63
1749607422;49.92
1749607423;45.21
1749607424;47.57
1749607425;50.89
1749607426;34.09
1749607427;44.56
1749607428;32.01
1749607429;30.98
1749607430;52.36
1749607431;58.31
1749607432;54.94
1749607433;36.43
1749607434;51.34
1749607435;49.54
1749607437;48.67
1749607438;56.75
1749607439;30.8
1749607440;49.98
1749607441;46.5
1749607442;35.75
1749607443;44.91
1749607444;40.94
1749607445;50.44
1749607446;48.95
1749607447;32.72
1749607448;47.63
1749607449;46.22
1749607450;47.8
1749607451;44.44
1749607453;42.05
1749607454;47.23
1749607455;49.73
1749607456;46.87
1749607457;43.27
1749607458;58.38
1749607459;31.12
1749607460;47.12
1749607461;57.98
1749607462;59.14
1749607463;45.35
1749607464;41.82
1749607465;32.96
1749607467;49.65
1749607468;58.93
1749607469;50.2
1749607470;33.23
1749607471;48.28
1749607472;49.36
1749607473;31.77
1749607474;37.99
1749607475;56.46
1749607476;58.4
1749607477;50.62
1749607478;35.52
1749607479;37.03
1749607480;44.66
1749607482;55.69
1749607483;40.76
1749607484;33.9
1749607485;49.47
1749607486;42.61
1749607487;50.98
1749607509;44
1749607510;59
1749607512;60
1749607513;54
1749607514;37
1749607515;42
1749607516;52
1749607517;55
1749607518;37
1749607519;39
1749607520;45
1749607521;48
1749607522;52
1749607523;42
1749607524;33
1749607525;50
1749607527;34
1749607528;39
1749607529;34
1749607530;49
1749607531;46
1749607532;34
1749607533;35
1749607534;55
1749607535;34
1749607536;42
1749607537;37
1749607538;52
1749607539;59
1749607540;60
1749607542;50
1749607543;58
1749607544;42
1749607545;59
1749607546;41
1749607547;34
1749607548;58
1749607549;34
1749607550;37
1749607551;50
1749607552;38
1749607553;36
1749607554;39
