timestamp;gpu_usage
1749608135;38.5
1749608136;27.56
1749608137;55.7
1749608139;65.05
1749608140;60.64
1749608141;0.89
1749608142;49.4
1749608143;6.13
1749608144;41.69
1749608145;97.3
1749608146;40.82
1749608147;14.66
1749608148;68.79
1749608149;15.89
1749608150;45.78
1749608151;38.62
1749608152;44.86
1749608153;63.45
1749608155;19.29
1749608156;35.95
1749608157;65.59
1749608158;95.3
1749608159;64.67
1749608160;45.25
1749608161;91.02
1749608162;9.96
1749608163;27.4
1749608164;7.21
1749608165;56.42
1749608166;69.62
1749608167;87.78
1749608168;46.62
1749608169;21.23
1749608171;1.84
1749608172;22.01
1749608173;43.2
1749608174;62.59
1749608175;8.01
1749608176;28.72
1749608177;32.26
1749608178;33.09
1749608179;63.25
1749608180;1.75
1749608181;2.92
1749608182;15.57
1749608183;7.6
1749608184;94.92
1749608185;22.13
1749608187;35.84
1749608188;86.55
1749608189;93.1
1749608190;82.06
1749608191;57.99
1749608192;25.11
1749608193;90.15
1749608194;58.02
1749608195;55.98
1749608196;67.27
1749608197;51.85
1749608198;52.43
1749608199;54.34
1749608200;90.48
1749608201;61.45
1749608203;54.76
1749608204;71.67
1749608205;71.26
1749608206;97.96
1749608207;77.07
1749608208;92.34
1749608209;45.35
1749608210;74.88
1749608211;91.89
1749608212;9.66
1749608213;35.87
1749608214;53.49
1749608215;92.29
1749608216;48.98
1749608218;15.1
1749608219;6.54
1749608220;54.03
1749608221;12.71
1749608222;81.71
1749608223;12.79
1749608224;63.09
1749608225;24.01
1749608226;67.66
1749608227;15.49
1749608228;12.15
1749608229;81.94
1749608230;33.51
1749608231;88.85
1749608232;52.0
1749608233;88.11
1749608234;11.83
1749608235;45.98
1749608237;19.7
1749608238;49.3
1749608239;95.97
1749608240;34.24
1749608241;3.79
1749608242;5.95
1749608243;36.87
1749608244;10.28
1749608245;82.15
1749608246;15.48
1749608247;42.24
1749608248;26.03
1749608249;90.49
1749608250;46.5
1749608251;86.83
1749608252;44.22
1749608253;68.09
1749608254;43.38
1749608256;45.43
1749608257;57.94
1749608258;80.45
1749608259;48.7
1749608260;46.84
1749608261;60.52
1749608262;22.77
1749608263;38.15
1749608264;83.58
1749608265;26.22
1749608266;62.19
1749608267;41.07
1749608268;13.66
1749608269;11.63
1749608270;18.3
1749608271;69.57
1749608272;25.43
1749608273;59.39
1749608275;38.77
1749608276;41.01
1749608277;68.55
1749608278;4.05
1749608279;81.87
1749608280;16.56
1749608281;72.85
1749608282;23.61
1749608283;17.74
1749608284;51.78
1749608285;11.73
1749608286;14.26
1749608287;98.79
1749608288;28.02
1749608289;94.59
1749608290;99.3
1749608291;29.16
1749608293;82.1
1749608294;25.28
1749608295;94.09
1749608296;44.99
