timestamp;gpu_usage
1749608135;6.27
1749608136;26.19
1749608137;60.12
1749608139;72.44
1749608140;62.76
1749608141;87.24
1749608142;62.49
1749608143;75.64
1749608144;69.74
1749608145;67.57
1749608146;83.73
1749608147;81.98
1749608148;60.45
1749608149;1.1
1749608150;72.29
1749608151;14.82
1749608152;95.45
1749608153;0.17
1749608155;89.33
1749608156;22.2
1749608157;64.79
1749608158;38.94
1749608159;46.63
1749608160;59.22
1749608161;90.69
1749608162;1.18
1749608163;60.77
1749608164;77.72
1749608165;15.68
1749608166;81.07
1749608167;95.51
1749608168;14.15
1749608169;31.27
1749608171;65.97
1749608172;79.75
1749608173;39.12
1749608174;87.09
1749608175;87.74
1749608176;39.93
1749608177;58.68
1749608178;75.05
1749608179;15.44
1749608180;99.34
1749608181;67.76
1749608182;46.93
1749608183;55.88
1749608184;23.69
1749608185;98.11
1749608187;32.42
1749608188;60.63
1749608189;95.93
1749608190;30.43
1749608191;75.66
1749608192;90.31
1749608193;52.85
1749608194;56.94
1749608195;99.04
1749608196;22.83
1749608197;88.45
1749608198;81.64
1749608199;35.28
1749608200;85.17
1749608201;96.84
1749608203;59.18
1749608204;78.8
1749608205;52.76
1749608206;5.4
1749608207;43.67
1749608208;31.62
1749608209;65.81
1749608210;25.07
1749608211;71.21
1749608212;40.14
1749608213;26.44
1749608214;72.8
1749608215;51.82
1749608216;89.24
1749608218;60.63
1749608219;29.52
1749608220;16.1
1749608221;2.63
1749608222;0.41
1749608223;7.35
1749608224;23.37
1749608225;89.9
1749608226;48.04
1749608227;19.64
1749608228;30.79
1749608229;77.84
1749608230;4.25
1749608231;87.01
1749608232;66.09
1749608233;26.43
1749608234;61.28
1749608235;74.24
1749608237;91.54
1749608238;55.44
1749608239;90.28
1749608240;47.25
1749608241;61.31
1749608242;72.26
1749608243;50.69
1749608244;25.94
1749608245;32.05
1749608246;88.12
1749608247;54.22
1749608248;25.53
1749608249;99.6
1749608250;27.57
1749608251;82.66
1749608252;48.5
1749608253;27.68
1749608254;82.16
1749608256;80.33
1749608257;91.11
1749608258;14.5
1749608259;77.58
1749608260;72.33
1749608261;47.42
1749608262;10.01
1749608263;26.86
1749608264;21.49
1749608265;63.15
1749608266;70.65
1749608267;15.9
1749608268;87.91
1749608269;56.25
1749608270;12.27
1749608271;18.69
1749608272;40.98
1749608273;88.4
1749608275;81.7
1749608276;81.91
1749608277;39.24
1749608278;18.6
1749608279;78.8
1749608280;26.38
1749608281;48.59
1749608282;92.81
1749608283;41.23
1749608284;14.26
1749608285;2.94
1749608286;20.2
1749608287;95.71
1749608288;4.52
1749608289;28.74
1749608290;30.41
1749608291;61.94
1749608293;81.38
1749608294;67.65
1749608295;4.1
1749608296;64.19
1749608297;16.04
1749608298;53.04
1749608299;51.59
1749608300;32.47
1749608301;50.85
1749608302;91.99
1749608303;89.82
1749608304;64.98
1749608305;58.12
1749608306;18.07
1749608307;99.65
1749608308;81.32
1749608310;20.65
1749608311;82.6
1749608312;72.45
1749608313;65.05
1749608314;31.06
1749608315;12.07
1749608316;71.59
1749608317;57.15
1749608318;54.81
1749608319;49.78
1749608320;12.32
1749608321;62.56
1749608322;28.58
1749608323;2.06
1749608324;7.51
1749608325;78.51
1749608326;11.53
1749608327;36.62
1749608329;38.53
1749608330;5.68
1749608331;27.58
1749608332;58.35
1749608333;33.77
1749608334;72.42
1749608335;15.26
1749608336;57.06
1749608337;44.61
1749608338;94.34
1749608339;77.11
1749608340;19.41
1749608341;0.51
1749608342;54.55
1749608343;41.3
1749608344;6.4
1749608346;41.69
1749608347;22.77
1749608348;43.55
1749608349;88.85
1749608350;85.92
1749608351;81.35
1749608352;50.43
1749608353;54.33
1749608354;13.53
1749608355;20.14
1749608356;5.89
1749608357;4.79
1749608358;35.0
1749608359;69.53
1749608360;30.46
1749608361;1.15
1749608362;93.86
1749608364;0.61
1749608365;94.46
1749608366;84.92
1749608367;48.49
1749608368;37.05
1749608369;53.66
1749608370;72.09
1749608371;82.01
1749608372;5.9
1749608373;48.81
1749608374;68.3
1749608375;95.41
1749608376;83.41
1749608377;42.69
1749608378;61.36
1749608379;88.81
1749608380;79.79
1749608382;72.9
1749608383;55.75
1749608384;71.54
1749608385;16.9
1749608386;72.69
1749608387;30.78
1749608388;7.37
1749608389;36.56
1749608390;79.39
1749608391;97.71
1749608392;15.11
1749608393;8.05
1749608394;92.5
1749608395;50.17
1749608396;46.66
1749608397;1.17
1749608398;46.53
1749608399;62.19
1749608401;68.58
1749608402;11.83
1749608403;5.9
1749608404;37.23
1749608405;4.1
1749608406;15.57
1749608407;95.3
1749608408;93.66
1749608409;2.53
1749608410;23.57
1749608411;4.36
1749608412;47.14
1749608413;89.3
1749608414;5.37
1749608415;1.5
1749608416;82.79
1749608418;88.46
1749608419;97.44
1749608420;74.23
1749608421;68.9
1749608422;2.96
1749608423;12.64
1749608424;85.74
