timestamp;gpu_usage
1749608135;1.75
1749608136;13.31
1749608137;72.4
1749608139;11.86
1749608140;15.25
1749608141;84.13
1749608142;26.96
1749608143;51.57
1749608144;84.3
1749608145;32.97
1749608146;33.31
1749608147;50.54
1749608148;68.23
1749608149;4.35
1749608150;93.57
1749608151;18.84
1749608152;9.53
1749608153;23.73
1749608155;89.01
1749608156;74.18
1749608157;27.87
1749608158;54.48
1749608159;90.95
1749608160;48.55
1749608161;75.43
1749608162;94.45
1749608163;74.79
1749608164;75.23
1749608165;97.81
1749608166;46.12
1749608167;43.1
1749608168;5.65
1749608169;54.63
1749608171;50.27
1749608172;79.78
1749608173;89.83
1749608174;39.89
1749608175;29.5
1749608176;24.94
1749608177;92.91
1749608178;69.22
1749608179;89.14
1749608180;35.51
1749608181;29.8
1749608182;14.0
1749608183;24.46
1749608184;1.55
1749608185;1.23
1749608187;88.76
1749608188;6.81
1749608189;55.72
1749608190;60.81
1749608191;79.48
1749608192;81.69
1749608193;98.92
1749608194;72.92
1749608195;26.05
1749608196;54.1
1749608197;55.93
1749608198;6.16
1749608199;12.58
1749608200;54.76
1749608201;18.9
1749608203;66.87
1749608204;81.07
1749608205;48.28
1749608206;22.08
1749608207;53.39
1749608208;71.97
1749608209;69.71
1749608210;21.42
1749608211;16.94
1749608212;58.57
1749608213;28.87
1749608214;96.83
1749608215;98.99
1749608216;17.73
1749608218;80.19
1749608219;63.82
1749608220;87.56
1749608221;97.13
1749608222;61.2
1749608223;77.27
1749608224;34.63
1749608225;68.22
1749608226;26.18
1749608227;67.56
1749608228;59.06
1749608229;7.71
1749608230;6.31
1749608231;91.06
1749608232;43.67
1749608233;81.13
1749608234;99.49
1749608235;60.92
1749608237;96.98
1749608238;9.99
1749608239;28.45
1749608240;52.39
1749608241;34.66
1749608242;66.91
1749608243;84.45
1749608244;89.88
1749608245;79.06
1749608246;27.92
1749608247;55.37
1749608248;37.26
1749608249;74.53
1749608250;98.46
1749608251;11.77
1749608252;39.46
1749608253;19.19
1749608254;16.03
1749608256;72.04
1749608257;10.6
1749608258;53.31
1749608259;26.24
1749608260;74.54
1749608261;4.21
1749608262;31.48
1749608263;67.31
1749608264;11.08
1749608265;68.57
1749608266;47.14
1749608267;86.05
1749608268;14.34
1749608269;2.97
1749608270;42.26
1749608271;33.5
1749608272;66.88
1749608273;2.97
1749608275;69.36
1749608276;94.36
1749608277;66.23
1749608278;54.93
1749608279;37.46
1749608280;15.6
1749608281;20.44
1749608282;29.69
1749608283;54.46
1749608284;59.56
1749608285;90.1
1749608286;69.52
1749608287;28.12
1749608288;19.7
1749608289;29.37
1749608290;3.6
1749608291;41.63
1749608293;47.3
1749608294;27.56
1749608295;40.73
1749608296;51.34
1749608297;51.85
1749608298;59.5
1749608299;13.94
1749608300;48.33
1749608301;67.72
1749608302;14.99
1749608303;52.71
1749608304;73.33
1749608305;44.52
1749608306;81.78
1749608307;83.82
1749608308;8.66
1749608310;49.83
1749608311;15.75
1749608312;64.02
1749608313;65.03
1749608314;45.09
1749608315;77.63
1749608316;23.4
1749608317;55.33
1749608318;11.65
1749608319;61.08
1749608320;75.4
1749608321;71.75
1749608322;7.83
1749608323;91.33
1749608324;8.08
1749608325;10.6
1749608326;25.24
1749608327;30.4
1749608329;95.52
1749608330;52.13
1749608331;30.73
1749608332;16.78
1749608333;71.61
1749608334;78.23
1749608335;82.9
1749608336;51.68
1749608337;63.33
1749608338;46.37
1749608339;49.81
1749608340;73.68
1749608341;88.15
1749608342;55.25
1749608343;96.87
1749608344;4.2
1749608346;13.12
1749608347;70.18
1749608348;81.64
1749608349;80.64
1749608350;24.17
1749608351;52.33
1749608352;98.9
1749608353;48.99
1749608354;51.13
1749608355;86.52
1749608356;92.03
1749608357;35.09
1749608358;15.79
1749608359;11.31
1749608360;47.52
1749608361;10.95
1749608362;55.29
1749608364;75.05
1749608365;45.03
1749608366;46.42
1749608367;2.73
1749608368;39.49
1749608369;65.23
1749608370;31.45
1749608371;97.79
1749608372;5.5
1749608373;91.69
1749608374;89.1
1749608375;1.7
1749608376;13.81
1749608377;11.61
1749608378;21.7
1749608379;99.21
1749608380;82.64
1749608382;0.94
1749608383;42.33
1749608384;5.1
1749608385;63.26
1749608386;61.85
1749608387;31.81
1749608388;50.59
1749608389;17.0
1749608390;50.02
1749608391;24.96
1749608392;32.53
1749608393;53.16
1749608394;34.42
1749608395;28.22
1749608396;84.54
1749608397;22.44
1749608398;41.7
1749608399;36.36
1749608401;81.04
1749608402;66.96
1749608403;9.67
1749608404;38.27
1749608405;19.83
1749608406;8.78
1749608407;90.58
1749608408;86.2
1749608409;73.34
1749608410;73.91
1749608411;10.49
1749608412;60.93
1749608413;63.82
1749608414;52.91
1749608415;49.33
1749608416;47.15
1749608418;3.65
1749608419;74.23
1749608420;76.18
1749608421;44.87
1749608422;48.92
1749608423;92.65
1749608424;22.36
1749608425;67.15
1749608426;30.82
1749608427;88.9
1749608428;41.3
1749608429;81.93
1749608430;65.48
1749608431;95.69
1749608432;15.07
1749608433;69.91
1749608434;34.45
1749608436;46.72
1749608437;48.55
1749608438;52.9
1749608439;51.17
1749608440;3.1
1749608441;86.38
1749608442;45.62
1749608443;32.62
1749608444;42.98
1749608445;63.36
1749608446;31.19
1749608447;36.59
1749608448;83.43
1749608449;91.45
1749608450;55.97
1749608451;68.63
1749608453;9.36
1749608454;21.7
1749608455;55.11
1749608456;63.46
1749608457;78.92
1749608458;13.73
1749608459;9.84
1749608460;47.74
1749608461;62.86
1749608462;79.72
1749608463;28.16
1749608464;42.23
1749608465;53.47
