timestamp;gpu_usage
1750388400;8.04
1750389120;4.69
1750389840;6.28
1750390560;7.94
1750391280;6.64
1750392000;4.44
1750392720;10.57
1750393440;6.96
1750394160;6.22
1750394880;5.19
1750395600;5.83
1750396320;9.37
1750397040;7.1
1750397760;5.71
1750398480;6.14
1750399200;8.14
1750399920;5.56
1750400640;8.27
1750401360;6.97
1750402080;8.37
1750402800;8.42
1750403520;6.3
1750404240;8.93
1750404960;5.29
1750405680;7.93
1750406400;10.42
1750407120;5.33
1750407840;5.83
1750408560;8.32
1750409280;5.87
1750410000;12.6
1750410720;7.6
1750411440;9.86
1750412160;8.89
1750412880;4.4
1750413600;22.53
1750414320;16.57
1750415040;22.53
1750415760;15.06
1750416480;14.36
1750417200;15.46
1750417920;17.07
1750418640;18.29
1750419360;18.9
1750420080;14.38
1750420800;19.99
1750421520;23.29
1750422240;26.32
1750422960;16.98
1750423680;27.03
1750424400;31.75
1750425120;24.58
1750425840;25.27
1750426560;26.86
1750427280;26.94
1750428000;26.36
1750428720;30.14
1750429440;35.33
1750430160;33.78
1750430880;23.08
1750431600;49.8
1750432320;50.9
1750433040;53.25
1750433760;47.41
1750434480;54.84
1750435200;38.6
1750435920;33.57
1750436640;35.85
1750437360;31.19
1750438080;34.5
1750438800;35.21
1750439520;41.4
1750440240;34.22
1750440960;33.64
1750441680;37.9
1750442400;32.79
1750443120;29.22
1750443840;31.99
1750444560;36.48
1750445280;38.0
1750446000;38.38
1750446720;40.31
1750447440;39.26
1750448160;37.06
1750448880;41.82
1750449600;41.91
1750450320;36.9
1750451040;39.0
1750451760;34.62
1750452480;33.16
1750453200;55.79
1750453920;46.32
1750454640;42.7
1750455360;43.76
1750456080;45.99
1750456800;40.36
1750457520;44.09
1750458240;45.01
1750458960;45.58
1750459680;47.53
1750460400;43.4
1750461120;53.08
1750461840;40.03
1750462560;47.64
1750463280;40.92
1750464000;25.27
1750464720;18.9
1750465440;20.45
1750466160;16.57
1750466880;21.2
1750467600;25.49
1750468320;25.9
1750469040;15.56
1750469760;27.72
1750470480;15.68
1750471200;10.31
1750471920;3.35
1750472640;10.6
1750473360;5.27
1750474080;8.33
