timestamp;trajectory_error
1749604302;225.8
1749604303;31.2
1749604304;439.08
1749604305;477.35
1749604306;50.24
1749604307;553.45
1749604308;397.24
1749604309;681.65
1749604311;556.64
1749604312;606.21
1749604313;675.94
1749604314;127.58
1749604315;644.75
1749604316;329.96
1749604317;694.04
1749604318;727.04
1749604319;104.29
1749604320;97.83
1749604321;287.88
1749604322;614.46
1749604324;76.49
1749604325;736.06
1749604326;540.75
1749604327;291.17
1749604328;350.66
1749604329;19.16
1749604330;230.43
1749604331;645.36
1749604332;65.29
1749604333;131.81
1749604334;593.78
1749604335;499.15
1749604336;494.38
1749604337;531.56
1749604339;718.3
1749604340;342.17
1749604341;658.06
1749604342;645.68
1749604343;712.38
1749604344;557.06
1749604345;99.88
1749604346;525.13
1749604347;486.66
1749604348;561.99
1749604349;180.26
1749604350;387.68
1749604351;89.38
1749604352;155.4
1749604353;261.28
1749604355;385.69
1749604356;492.31
1749604357;684.32
1749604358;86.18
1749604359;210.75
1749604360;297.28
1749604361;99.42
1749604362;219.59
1749604363;71.39
1749604364;230.7
1749604365;737.55
1749604366;15.57
1749604367;93.86
1749604368;322.74
1749604369;722.72
1749604371;621.0
1749604372;515.56
1749604373;452.58
1749604374;580.06
1749604375;412.15
1749604376;163.93
1749604377;373.87
1749604378;173.78
1749604379;148.3
1749604380;607.27
1749604381;604.46
1749604382;621.5
1749604383;187.21
1749604384;579.74
1749604385;263.57
1749604387;14.31
1749604388;678.81
1749604389;406.18
1749604390;249.99
1749604391;506.05
1749604392;392.91
1749604393;533.08
1749604394;499.42
1749604395;315.74
1749604396;135.51
1749604397;736.77
1749604398;115.6
1749604399;290.49
1749604400;739.58
1749604401;418.27
1749604403;725.49
1749604404;485.31
1749604405;682.54
1749604406;681.13
1749604407;496.44
1749604408;498.41
1749604409;557.35
1749604410;241.12
1749604411;181.76
1749604412;40.71
1749604413;374.46
1749604414;492.56
1749604415;162.59
1749604416;149.16
1749604418;73.02
1749604419;360.12
1749604420;479.68
1749604421;37.73
1749604422;270.97
1749604423;552.7
1749604424;313.85
1749604425;252.73
1749604426;549.09
1749604427;433.46
1749604428;316.87
1749604429;214.34
1749604430;717.71
1749604431;267.22
1749604432;722.89
1749604434;441.82
1749604435;394.12
1749604436;354.42
1749604437;465.82
1749604438;534.0
1749604439;5.72
1749604440;63.45
1749604441;329.46
1749604442;511.31
1749604443;150.73
1749604444;139.37
1749604445;707.8
1749604446;600.44
1749604448;63.85
1749604449;603.21
1749604450;589.01
1749604451;104.38
1749604452;310.76
1749604453;684.88
1749604454;681.14
1749604455;222.39
1749604456;727.31
1749604457;711.96
1749604458;263.04
1749604459;188.71
1749604460;3.35
1749604461;747.88
1749604463;584.62
1749604464;642.28
1749604465;423.65
1749604466;577.55
1749604467;214.2
1749604468;172.31
1749604469;20.72
1749604470;92.38
1749604471;3.26
1749604472;94.95
1749604473;735.54
1749604474;352.82
1749604475;683.59
1749604476;157.03
1749604477;120.19
1749604479;212.93
1749604480;559.78
1749604481;717.7
1749604482;614.41
1749604483;530.99
1749604484;139.91
1749604485;525.59
1749604486;537.1
1749604487;457.5
1749604488;162.86
1749604489;302.55
1749604490;33.07
1749604491;258.07
1749604493;159.59
1749604494;637.53
1749604495;268.32
1749604496;658.7
1749604497;205.96
1749604498;61.01
1749604499;140.02
1749604500;371.19
1749604501;650.04
1749604502;226.0
1749604503;644.94
1749604505;731.34
1749604506;675.16
1749604507;405.2
1749604508;600.82
1749604509;629.38
1749604510;189.61
1749604511;96.59
1749604512;143.02
1749604513;690.73
1749604514;442.57
1749604515;650.18
1749604516;685.59
1749604518;665.36
1749604519;30.39
1749604520;511.41
1749604521;416.23
1749604522;254.05
1749604523;525.4
1749604524;330.48
1749604525;369.62
1749604526;216.13
1749604527;151.08
1749604528;387.91
1749604529;558.86
1749604531;38.42
1749604532;559.53
1749604533;235.24
1749604534;455.11
1749604535;105.95
1749604536;358.24
1749604537;499.93
1749604538;279.58
1749604539;203.97
1749604540;71.17
