timestamp;cpu_usage
1759273109;45.25
1759273110;99.93
1759273111;81.8
1759273112;24.7
1759273113;10.87
1759273114;74.5
1760287818;25.16
1760287819;39.04
1760287821;41.31
1760287822;94.43
1760287823;12.73
1760287824;33.57
1760287825;89.02
1760287826;83.81
1760287827;22.78
1760287828;93.39
1760287829;18.59
1760287830;98.82
1760287831;20.74
1760287832;74.92
1760287833;69.09
1760287834;10.65
1760287835;67.47
1760287837;46.34
1760287838;96.82
1760287839;86.7
1760287840;45.29
1760287841;28.54
1760287842;27.61
1760287843;57.51
1760287844;81.73
1760287845;73.7
1760287846;28.97
1760287847;83.94
1760287848;17.89
1760287849;1.02
1760287850;93.04
1760287851;82.48
1760287852;70.78
1760287853;36.95
1760287854;39.97
1760287856;62.65
1760287857;53.23
1760287858;79.08
1760287859;38.28
1760287860;18.61
1760287861;5.51
1760287862;98.51
1760287863;18.71
1760287864;99.6
1760287865;6.04
1760287866;85.23
1760287867;78.99
1760287868;37.72
1760287869;69.47
1760287871;40.15
1760287872;60.81
1760287873;77.15
1760287874;86.44
1760287875;79.22
1760287876;88.85
1760287877;92.46
1760287878;61.26
1760287879;53.63
1760287880;24.07
1760287881;72.65
1760287882;0.23
1760287884;53.84
1760287885;40.1
1760287886;70.61
1760287887;6.56
1760287888;99.4
1760287889;31.99
1760287890;48.33
1760287891;71.39
1760287892;17.14
1760287893;4.26
1760287894;45.99
1760287895;83.3
1760287896;74.22
1760287898;29.85
1760287899;3.71
1760287900;98.63
1760287901;61.4
1760287902;32.17
1760287903;89.32
1760287904;69.29
1760287905;63.63
1760287906;82.97
1760287907;43.47
1760287908;23.22
1760287909;81.05
1760287910;74.42
1760287912;54.79
1760287913;55.93
1760287914;68.4
1760287915;85.71
1760287916;97.14
1760287917;98.96
1760287918;0.68
1760287919;74.5
1760287920;6.59
