timestamp;cpu_usage
1759273109;46.43
1759273110;39.62
1759273111;63.26
1759273112;79.15
1759273113;9.61
1759273114;62.59
1760287818;85.51
1760287819;78.07
1760287821;3.68
1760287822;92.28
1760287823;26.9
1760287824;19.15
1760287825;89.39
1760287826;91.3
1760287827;78.58
1760287828;47.63
1760287829;32.57
1760287830;1.94
1760287831;66.29
1760287832;53.86
1760287833;56.73
1760287834;59.36
1760287835;66.68
1760287837;36.64
1760287838;37.74
1760287839;33.74
1760287840;44.0
1760287841;90.33
1760287842;55.86
1760287843;80.28
1760287844;48.22
1760287845;85.78
1760287846;97.5
1760287847;48.74
1760287848;14.64
1760287849;94.39
1760287850;24.82
1760287851;54.96
1760287852;96.07
1760287853;93.16
1760287854;45.22
1760287856;70.32
1760287857;60.7
1760287858;78.42
1760287859;25.35
1760287860;12.8
1760287861;69.95
1760287862;89.29
1760287863;42.48
1760287864;55.16
1760287865;89.41
1760287866;1.06
1760287867;72.37
1760287868;49.02
1760287869;14.39
1760287871;33.09
1760287872;70.24
1760287873;16.46
1760287874;44.94
1760287875;14.47
1760287876;80.67
1760287877;8.44
1760287878;29.3
1760287879;46.84
1760287880;3.5
1760287881;97.25
1760287882;61.83
1760287884;44.02
1760287885;82.68
1760287886;67.22
1760287887;13.01
1760287888;67.88
1760287889;4.69
1760287890;3.03
1760287891;82.0
1760287892;90.51
1760287893;97.73
1760287894;76.67
1760287895;53.12
1760287896;61.84
1760287898;91.0
1760287899;29.02
1760287900;45.83
1760287901;20.33
1760287902;26.58
1760287903;21.34
1760287904;90.29
1760287905;43.04
1760287906;97.61
1760287907;95.86
1760287908;30.99
1760287909;13.34
1760287910;67.89
1760287912;81.5
1760287913;77.07
1760287914;92.23
1760287915;94.83
1760287916;52.71
1760287917;82.87
1760287918;78.54
1760287919;98.45
1760287920;56.96
