timestamp;cpu_usage
1759273109;10.88
1759273110;73.55
1759273111;42.24
1759273112;2.21
1759273113;62.14
1759273114;60.81
1760287818;28.88
1760287819;91.48
1760287821;62.29
1760287822;77.17
1760287823;80.65
1760287824;43.77
1760287825;43.56
1760287826;0.63
1760287827;25.55
1760287828;50.64
1760287829;6.64
1760287830;42.79
1760287831;90.58
1760287832;96.57
1760287833;25.85
1760287834;48.39
1760287835;4.99
1760287837;63.74
1760287838;45.86
1760287839;10.62
1760287840;70.37
1760287841;33.61
1760287842;80.47
1760287843;66.44
1760287844;84.19
1760287845;58.34
1760287846;6.44
1760287847;95.74
1760287848;74.35
1760287849;69.27
1760287850;49.72
1760287851;34.35
1760287852;92.5
1760287853;71.66
1760287854;93.13
1760287856;12.28
1760287857;22.76
1760287858;74.93
1760287859;94.94
1760287860;8.67
1760287861;0.57
1760287862;79.12
1760287863;47.55
1760287864;39.27
1760287865;35.11
1760287866;80.52
1760287867;86.88
1760287868;38.99
1760287869;11.63
1760287871;80.82
1760287872;74.3
1760287873;58.72
1760287874;6.14
1760287875;79.81
1760287876;26.88
1760287877;63.1
1760287878;75.61
1760287879;58.7
1760287880;87.22
1760287881;34.15
1760287882;71.4
1760287884;66.21
1760287885;3.93
1760287886;42.17
1760287887;71.15
1760287888;37.58
1760287889;26.3
1760287890;34.1
1760287891;43.52
1760287892;30.56
1760287893;5.29
1760287894;88.67
1760287895;53.14
1760287896;31.27
1760287898;25.26
1760287899;56.58
1760287900;14.11
1760287901;90.58
1760287902;61.0
1760287903;51.8
1760287904;31.23
1760287905;11.84
1760287906;79.64
1760287907;27.8
1760287908;3.62
1760287909;69.77
1760287910;39.76
1760287912;27.04
1760287913;97.76
1760287914;29.6
1760287915;23.75
1760287916;13.74
1760287917;38.06
1760287918;90.81
1760287919;37.95
1760287920;47.13
