timestamp;cpu_usage
1759273109;19.54
1759273110;71.41
1759273111;92.52
1759273112;41.25
1759273113;60.08
1759273114;23.14
1760287818;7.4
1760287819;49.35
1760287821;30.51
1760287822;22.18
1760287823;10.18
1760287824;83.25
1760287825;24.61
1760287826;38.63
1760287827;38.85
1760287828;75.42
1760287829;95.01
1760287830;70.65
1760287831;70.24
1760287832;63.79
1760287833;18.17
1760287834;64.33
1760287835;42.43
1760287837;22.72
1760287838;70.77
1760287839;33.88
1760287840;73.68
1760287841;44.09
1760287842;1.79
1760287843;63.41
1760287844;9.75
1760287845;2.6
1760287846;78.39
1760287847;11.93
1760287848;54.01
1760287849;29.08
1760287850;58.37
1760287851;28.72
1760287852;26.21
1760287853;93.5
1760287854;70.51
1760287856;8.58
1760287857;23.78
1760287858;39.42
1760287859;36.85
1760287860;45.46
1760287861;78.48
1760287862;97.65
1760287863;46.11
1760287864;21.74
1760287865;27.19
1760287866;52.92
1760287867;41.05
1760287868;25.35
1760287869;66.35
1760287871;24.49
1760287872;20.73
1760287873;53.21
1760287874;50.84
1760287875;86.69
1760287876;94.19
1760287877;15.01
1760287878;71.08
1760287879;51.24
1760287880;24.94
1760287881;34.48
1760287882;95.25
1760287884;59.9
1760287885;49.09
1760287886;69.44
1760287887;1.97
1760287888;28.92
1760287889;26.75
1760287890;96.55
1760287891;12.93
1760287892;44.3
1760287893;57.77
1760287894;84.26
1760287895;94.13
1760287896;89.03
1760287898;1.65
1760287899;54.37
1760287900;20.42
1760287901;5.08
1760287902;16.26
1760287903;78.12
1760287904;83.58
1760287905;81.57
1760287906;26.24
1760287907;97.84
1760287908;1.43
1760287909;23.29
1760287910;61.45
1760287912;14.04
1760287913;27.1
1760287914;92.44
1760287915;85.31
1760287916;36.87
1760287917;46.75
1760287918;91.49
1760287919;34.63
1760287920;24.37
