timestamp;gpu_usage
1749608135;80.03
1749608136;10.81
1749608137;22.86
1749608139;41.7
1749608140;61.88
1749608141;38.39
1749608142;31.09
1749608143;82.68
1749608144;54.53
1749608145;52.98
1749608146;80.73
1749608147;64.83
1749608148;49.57
1749608149;91.54
1749608150;22.85
1749608151;25.73
1749608152;64.36
1749608153;70.85
1749608155;88.07
1749608156;80.89
1749608157;94.44
1749608158;16.9
1749608159;53.03
1749608160;31.99
1749608161;28.28
1749608162;37.71
1749608163;27.33
1749608164;28.83
1749608165;90.58
1749608166;39.9
1749608167;56.51
1749608168;12.17
1749608169;69.21
1749608171;67.19
1749608172;7.93
1749608173;18.39
1749608174;13.4
1749608175;64.24
1749608176;82.45
1749608177;66.99
1749608178;90.12
1749608179;16.21
1749608180;84.49
1749608181;15.56
1749608182;55.25
1749608183;80.97
1749608184;56.6
1749608185;95.21
1749608187;9.54
1749608188;69.75
1749608189;6.54
1749608190;11.7
1749608191;80.35
1749608192;51.97
1749608193;57.35
1749608194;31.45
1749608195;25.97
1749608196;11.8
1749608197;49.99
1749608198;80.18
1749608199;60.73
1749608200;40.84
1749608201;17.41
1749608203;97.33
1749608204;68.46
1749608205;37.07
1749608206;12.9
1749608207;50.92
1749608208;3.64
1749608209;91.12
1749608210;70.59
1749608211;56.46
1749608212;96.25
1749608213;45.73
1749608214;40.96
1749608215;47.09
1749608216;34.21
1749608218;76.57
1749608219;97.12
1749608220;85.87
1749608221;7.39
1749608222;95.35
1749608223;31.49
1749608224;6.15
1749608225;10.72
1749608226;50.77
1749608227;21.87
1749608228;12.27
1749608229;54.4
1749608230;95.0
1749608231;3.41
1749608232;58.11
1749608233;61.25
1749608234;47.21
1749608235;40.58
1749608237;54.04
1749608238;42.46
1749608239;79.7
1749608240;86.44
1749608241;49.9
1749608242;61.42
1749608243;62.23
1749608244;11.19
1749608245;41.49
1749608246;70.28
1749608247;91.86
1749608248;80.87
1749608249;34.0
1749608250;93.9
1749608251;47.07
1749608252;91.66
1749608253;64.61
1749608254;77.07
1749608256;0.8
1749608257;32.56
1749608258;10.87
1749608259;82.6
1749608260;45.05
1749608261;38.15
1749608262;27.52
1749608263;61.09
1749608264;58.96
1749608265;90.19
1749608266;12.83
1749608267;81.25
1749608268;20.89
1749608269;43.87
1749608270;19.54
1749608271;35.35
1749608272;1.67
1749608273;56.34
1749608275;3.04
1749608276;64.21
1749608277;77.98
1749608278;2.39
1749608279;90.94
1749608280;10.33
1749608281;80.34
1749608282;0.92
1749608283;80.68
1749608284;34.46
1749608285;97.26
1749608286;3.65
1749608287;91.83
1749608288;98.8
1749608289;21.45
1749608290;29.89
1749608291;50.97
1749608293;26.97
1749608294;85.85
1749608295;10.29
1749608296;7.23
1749608297;22.31
1749608298;23.42
1749608299;79.99
1749608300;81.3
1749608301;31.1
1749608302;4.62
1749608303;40.52
1749608304;25.92
1749608305;8.98
1749608306;65.76
1749608307;98.13
1749608308;73.95
1749608310;70.88
1749608311;52.34
1749608312;15.6
1749608313;90.44
1749608314;19.08
1749608315;6.71
1749608316;33.13
1749608317;98.0
1749608318;75.67
1749608319;54.29
1749608320;6.72
1749608321;98.14
1749608322;37.09
1749608323;29.21
1749608324;26.48
1749608325;57.71
1749608326;91.47
1749608327;19.87
1749608329;6.2
1749608330;43.03
1749608331;9.56
1749608332;40.85
1749608333;88.2
1749608334;8.32
1749608335;22.46
1749608336;12.25
1749608337;29.31
1749608338;82.12
1749608339;27.88
1749608340;93.84
1749608341;50.21
1749608342;16.5
1749608343;9.53
1749608344;29.88
1749608346;36.04
1749608347;15.72
1749608348;92.12
1749608349;82.37
1749608350;5.72
1749608351;99.28
1749608352;81.22
1749608353;14.36
1749608354;73.67
1749608355;81.89
1749608356;77.21
1749608357;80.04
1749608358;1.11
1749608359;45.83
1749608360;15.26
1749608361;4.45
1749608362;6.99
1749608364;88.15
1749608365;56.49
1749608366;43.1
1749608367;72.61
1749608368;91.85
1749608369;68.65
1749608370;21.8
1749608371;74.38
1749608372;29.65
1749608373;97.89
1749608374;46.05
1749608375;14.65
1749608376;97.43
1749608377;33.05
1749608378;45.56
1749608379;26.0
1749608380;61.18
1749608382;34.16
1749608383;16.89
1749608384;88.17
1749608385;46.18
1749608386;69.86
1749608387;65.34
1749608388;83.77
1749608389;28.01
1749608390;95.83
1749608391;7.27
1749608392;42.11
1749608393;98.77
1749608394;14.06
1749608395;86.16
1749608396;4.26
1749608397;19.86
1749608398;23.43
1749608399;20.37
1749608401;87.39
1749608402;87.07
1749608403;2.05
1749608404;23.1
1749608405;15.44
1749608406;84.53
1749608407;60.48
1749608408;18.61
1749608409;72.85
1749608410;57.36
1749608411;27.59
1749608412;99.96
1749608413;66.17
1749608414;38.85
1749608415;94.64
1749608416;90.46
1749608418;40.24
1749608419;87.74
1749608420;88.06
1749608421;59.01
1749608422;5.47
1749608423;53.0
1749608424;52.13
1749608425;9.6
1749608426;36.5
1749608427;2.13
1749608428;86.93
1749608429;95.3
1749608430;63.37
1749608431;58.64
1749608432;43.75
1749608433;2.96
1749608434;85.33
1749608436;41.79
1749608437;66.63
1749608438;70.68
1749608439;77.69
1749608440;9.67
1749608441;41.63
1749608442;76.82
1749608443;83.91
1749608444;93.44
1749608445;14.14
1749608446;44.37
1749608447;91.79
1749608448;89.49
1749608449;88.03
1749608450;11.6
1749608451;92.4
1749608453;73.0
1749608454;77.18
1749608455;23.19
1749608456;38.04
1749608457;26.2
1749608458;36.01
1749608459;34.6
1749608460;76.25
1749608461;71.36
1749608462;50.84
1749608463;2.12
1749608464;19.33
1749608465;10.2
1749608466;22.14
1749608467;81.27
1749608469;60.25
1749608470;23.14
1749608471;93.91
1749608472;67.56
1749608473;76.46
1749608474;2.62
1749608475;20.96
1749608476;48.44
1749608477;89.38
1749608478;86.35
1749608479;48.84
1749608480;2.36
1749608481;33.51
1749608482;45.79
1749608483;39.53
1749608484;32.13
1749608485;58.01
