timestamp;gpu_usage
1750388400;10.47
1750389120;12.04
1750389840;7.33
1750390560;3.08
1750391280;7.83
1750392000;11.67
1750392720;9.99
1750393440;7.92
1750394160;11.24
1750394880;8.02
1750395600;7.84
1750396320;6.85
1750397040;5.81
1750397760;4.19
1750398480;9.54
1750399200;6.98
1750399920;8.92
1750400640;6.78
1750401360;6.26
1750402080;10.53
1750402800;8.11
1750403520;6.93
1750404240;8.04
1750404960;11.54
1750405680;6.62
1750406400;10.47
1750407120;7.93
1750407840;6.04
1750408560;9.27
1750409280;7.61
1750410000;10.15
1750410720;8.33
1750411440;9.02
1750412160;10.48
1750412880;5.37
1750413600;18.52
1750414320;18.64
1750415040;24.91
1750415760;18.73
1750416480;18.39
1750417200;22.51
1750417920;23.21
1750418640;20.12
1750419360;20.63
1750420080;22.8
1750420800;16.37
1750421520;20.33
1750422240;23.08
1750422960;26.12
1750423680;16.16
1750424400;29.2
1750425120;31.07
1750425840;28.43
1750426560;30.88
1750427280;34.47
1750428000;32.36
1750428720;31.81
1750429440;29.71
1750430160;28.57
1750430880;36.22
1750431600;44.48
1750432320;43.02
1750433040;45.57
1750433760;50.25
1750434480;50.82
1750435200;29.27
1750435920;35.28
1750436640;36.6
1750437360;40.11
1750438080;31.31
1750438800;29.19
1750439520;36.94
1750440240;41.8
1750440960;35.15
1750441680;35.12
1750442400;33.4
1750443120;33.14
1750443840;29.54
1750444560;32.11
1750445280;29.28
1750446000;34.87
1750446720;36.62
1750447440;34.41
1750448160;36.63
1750448880;38.4
1750449600;33.0
1750450320;34.65
1750451040;41.51
1750451760;31.74
1750452480;35.6
1750453200;40.7
1750453920;47.81
1750454640;43.75
1750455360;52.79
1750456080;56.18
1750456800;50.95
1750457520;45.61
1750458240;39.24
1750458960;51.87
1750459680;39.58
1750460400;40.83
1750461120;47.67
1750461840;50.25
1750462560;53.03
1750463280;38.79
1750464000;18.47
1750464720;19.88
1750465440;17.54
1750466160;20.77
1750466880;13.8
1750467600;15.35
1750468320;18.71
1750469040;23.94
1750469760;17.89
1750470480;26.1
1750471200;7.84
1750471920;3.69
1750472640;5.02
1750473360;11.48
1750474080;5.96
