timestamp;trajectory_error
1749604302;532.83
1749604303;598.43
1749604304;688.28
1749604305;181.78
1749604306;560.22
1749604307;10.8
1749604308;388.89
1749604309;619.09
1749604311;139.01
1749604312;339.99
1749604313;163.42
1749604314;657.36
1749604315;496.91
1749604316;352.61
1749604317;713.47
1749604318;654.37
1749604319;113.6
1749604320;22.7
1749604321;575.35
1749604322;728.16
1749604324;134.36
1749604325;496.27
1749604326;362.62
1749604327;639.64
1749604328;193.51
1749604329;458.46
1749604330;28.78
1749604331;669.39
1749604332;478.95
1749604333;556.98
1749604334;504.33
1749604335;340.54
1749604336;304.23
1749604337;249.65
1749604339;538.87
1749604340;596.77
1749604341;553.03
1749604342;612.56
1749604343;634.63
1749604344;0.15
1749604345;651.03
1749604346;601.89
1749604347;279.65
1749604348;725.79
1749604349;493.44
1749604350;441.73
1749604351;117.12
1749604352;265.2
1749604353;527.72
1749604355;54.56
1749604356;729.23
1749604357;82.09
1749604358;16.26
1749604359;374.38
1749604360;636.32
1749604361;99.99
1749604362;317.64
1749604363;263.53
1749604364;333.75
1749604365;654.43
1749604366;714.54
1749604367;435.68
1749604368;597.65
1749604369;147.29
1749604371;475.1
1749604372;178.95
1749604373;56.19
1749604374;679.02
1749604375;192.65
1749604376;705.52
1749604377;510.91
1749604378;444.26
1749604379;485.87
1749604380;471.7
1749604381;260.91
1749604382;681.24
1749604383;611.33
1749604384;506.2
1749604385;75.24
1749604387;109.55
1749604388;276.14
1749604389;700.76
1749604390;532.82
1749604391;587.74
1749604392;169.33
1749604393;190.16
1749604394;603.95
1749604395;261.89
1749604396;334.36
1749604397;76.78
1749604398;239.82
1749604399;317.03
1749604400;602.16
1749604401;395.77
1749604403;531.77
1749604404;724.66
1749604405;515.43
1749604406;427.47
1749604407;584.27
1749604408;221.3
1749604409;409.04
1749604410;707.27
1749604411;570.96
1749604412;489.27
1749604413;219.22
1749604414;89.55
1749604415;292.43
1749604416;385.78
1749604418;204.0
1749604419;236.14
1749604420;688.21
1749604421;398.81
1749604422;665.16
1749604423;474.41
1749604424;23.85
1749604425;188.62
1749604426;157.26
1749604427;648.69
1749604428;329.3
1749604429;227.88
1749604430;28.97
1749604431;487.49
1749604432;373.63
1749604434;387.54
1749604435;673.27
1749604436;700.59
1749604437;741.92
1749604438;637.18
1749604439;530.41
1749604440;663.25
1749604441;258.62
1749604442;743.27
1749604443;77.09
1749604444;463.53
1749604445;244.61
1749604446;411.42
1749604448;81.87
1749604449;712.35
1749604450;210.4
1749604451;456.82
1749604452;107.66
1749604453;270.91
1749604454;79.41
1749604455;457.09
1749604456;630.45
1749604457;517.09
1749604458;486.9
1749604459;555.75
1749604460;426.92
1749604461;497.06
1749604463;402.38
1749604464;642.45
1749604465;465.85
1749604466;397.89
1749604467;283.8
1749604468;625.06
1749604469;241.81
1749604470;74.63
1749604471;745.85
1749604472;577.16
1749604473;390.33
1749604474;28.62
1749604475;1.01
1749604476;640.46
1749604477;470.42
1749604479;65.78
1749604480;444.97
1749604481;14.44
1749604482;400.68
1749604483;552.33
1749604484;202.88
1749604485;632.25
1749604486;447.3
1749604487;417.09
1749604488;108.81
1749604489;645.75
1749604490;34.86
1749604491;358.07
1749604493;62.1
1749604494;641.07
1749604495;350.37
1749604496;641.11
1749604497;562.43
1749604498;450.73
1749604499;672.82
1749604500;537.32
1749604501;35.83
1749604502;121.53
1749604503;144.76
1749604505;226.62
1749604506;585.47
1749604507;52.5
1749604508;684.13
1749604509;683.57
1749604510;15.56
1749604511;353.36
1749604512;696.34
1749604513;504.05
1749604514;696.88
1749604515;550.84
1749604516;58.64
1749604518;161.12
1749604519;426.42
1749604520;101.18
1749604521;161.59
1749604522;563.62
1749604523;130.98
1749604524;618.73
1749604525;506.79
1749604526;85.71
1749604527;540.94
1749604528;639.1
1749604529;189.87
1749604531;746.1
1749604532;327.93
1749604533;154.92
1749604534;602.76
1749604535;170.06
1749604536;529.35
1749604537;31.29
1749604538;362.19
1749604539;142.1
1749604540;427.57
