timestamp;trajectory_error
1749604302;237.42
1749604303;91.98
1749604304;69.51
1749604305;326.0
1749604306;505.06
1749604307;101.73
1749604308;221.54
1749604309;487.08
1749604311;322.42
1749604312;263.1
1749604313;507.65
1749604314;486.98
1749604315;33.68
1749604316;748.3
1749604317;602.13
1749604318;739.12
1749604319;320.5
1749604320;682.11
1749604321;419.67
1749604322;254.14
1749604324;539.13
1749604325;112.75
1749604326;231.88
1749604327;307.97
1749604328;529.92
1749604329;127.37
1749604330;453.54
1749604331;619.31
1749604332;581.49
1749604333;80.44
1749604334;698.01
1749604335;714.78
1749604336;525.06
1749604337;737.99
1749604339;52.2
1749604340;731.23
1749604341;631.48
1749604342;280.65
1749604343;44.33
1749604344;699.3
1749604345;68.33
1749604346;621.67
1749604347;37.6
1749604348;567.34
1749604349;515.08
1749604350;77.56
1749604351;615.17
1749604352;321.44
1749604353;156.0
1749604355;33.53
1749604356;497.97
1749604357;414.31
1749604358;699.25
1749604359;714.62
1749604360;596.52
1749604361;467.4
1749604362;514.23
1749604363;324.76
1749604364;527.54
1749604365;694.48
1749604366;564.04
1749604367;292.64
1749604368;133.11
1749604369;613.63
1749604371;625.07
1749604372;55.21
1749604373;239.14
1749604374;730.11
1749604375;458.89
1749604376;114.08
1749604377;505.94
1749604378;229.54
1749604379;194.71
1749604380;517.01
1749604381;213.37
1749604382;454.14
1749604383;332.36
1749604384;430.27
1749604385;679.45
1749604387;352.04
1749604388;29.31
1749604389;435.98
1749604390;239.08
1749604391;537.01
1749604392;664.62
1749604393;274.05
1749604394;32.66
1749604395;424.88
1749604396;123.37
1749604397;70.52
1749604398;295.73
1749604399;532.9
1749604400;438.63
1749604401;500.23
1749604403;619.79
1749604404;275.42
1749604405;84.14
1749604406;451.4
1749604407;84.7
1749604408;498.22
1749604409;500.62
1749604410;636.87
1749604411;407.38
1749604412;372.16
1749604413;578.98
1749604414;709.78
1749604415;666.62
1749604416;573.9
1749604418;24.3
1749604419;424.27
1749604420;665.86
1749604421;115.22
1749604422;355.2
1749604423;666.41
1749604424;150.0
1749604425;519.73
1749604426;50.54
1749604427;392.1
1749604428;400.21
1749604429;543.39
1749604430;0.71
1749604431;716.15
1749604432;347.82
1749604434;269.96
1749604435;143.99
1749604436;97.86
1749604437;67.57
1749604438;733.21
1749604439;348.4
1749604440;315.23
1749604441;361.43
1749604442;445.91
1749604443;377.72
1749604444;712.24
1749604445;316.32
1749604446;2.67
1749604448;400.05
1749604449;238.36
1749604450;650.62
1749604451;523.96
1749604452;396.58
1749604453;649.0
1749604454;691.11
1749604455;34.05
1749604456;154.36
1749604457;718.95
1749604458;685.09
1749604459;113.74
1749604460;386.55
1749604461;514.0
1749604463;70.56
1749604464;262.45
1749604465;571.32
1749604466;343.11
1749604467;56.1
1749604468;415.62
1749604469;224.57
1749604470;134.51
1749604471;498.13
1749604472;483.86
1749604473;598.92
1749604474;324.29
1749604475;153.38
1749604476;340.16
1749604477;65.46
1749604479;478.2
1749604480;107.79
1749604481;674.61
1749604482;502.57
1749604483;584.55
1749604484;466.16
1749604485;461.17
1749604486;368.92
1749604487;166.77
1749604488;425.19
1749604489;148.84
1749604490;495.05
1749604491;580.27
1749604493;10.3
1749604494;114.52
1749604495;539.53
1749604496;371.26
1749604497;374.13
1749604498;614.2
1749604499;56.29
1749604500;442.96
1749604501;298.15
1749604502;418.95
1749604503;531.46
1749604505;741.52
1749604506;369.74
1749604507;418.63
1749604508;474.61
1749604509;632.43
1749604510;531.59
1749604511;61.6
1749604512;207.77
1749604513;33.55
1749604514;337.39
1749604515;232.54
1749604516;137.89
1749604518;419.07
1749604519;263.32
1749604520;673.9
1749604521;11.2
1749604522;18.06
1749604523;347.01
1749604524;740.52
1749604525;379.07
1749604526;726.46
1749604527;313.31
1749604528;645.88
1749604529;250.67
1749604531;45.68
1749604532;63.09
1749604533;288.45
1749604534;139.57
1749604535;392.35
1749604536;523.41
1749604537;264.49
1749604538;255.46
1749604539;178.19
1749604540;420.29
